year,species_code,comp_type,iss_length,region
1993,10112,male,181.76386582141657,bs_shelf
1993,10112,total,349.77643983986934,bs_shelf
1993,10115,female,134.61999664832675,bs_shelf
1993,10115,male,135.5912440491215,bs_shelf
1993,10115,total,271.05760711589784,bs_shelf
1993,10130,female,1560.065525564931,bs_shelf
1993,10130,male,1295.825495363433,bs_shelf
1993,10130,total,2160.0956469113216,bs_shelf
1993,10210,female,1600.5253452654647,bs_shelf
1993,10210,male,1080.1857072879502,bs_shelf
1993,10210,total,1722.4699758544302,bs_shelf
1993,10285,female,1084.8080353592895,bs_shelf
1993,10285,male,987.5479908440062,bs_shelf
1993,10285,total,1771.860967616783,bs_shelf
1993,21720,female,742.3874661090358,bs_shelf
1993,21720,male,658.5565189503412,bs_shelf
1993,21720,total,812.752661894172,bs_shelf
1993,21740,female,1723.8255932691309,bs_shelf
1993,21740,male,1624.198813448323,bs_shelf
1993,21740,total,1065.7827382428611,bs_shelf
1994,10110,female,1043.7649917263682,bs_shelf
1994,10110,male,546.4624360957117,bs_shelf
1994,10110,total,1330.4929236404696,bs_shelf
1994,10112,female,207.45524198303215,bs_shelf
1994,10112,male,195.8781639950408,bs_shelf
1994,10112,total,364.17072376820624,bs_shelf
1994,10115,female,119.06216469535973,bs_shelf
1994,10115,male,72.36749166640699,bs_shelf
1994,10115,total,189.21391487973037,bs_shelf
1994,10130,female,1561.9568341188522,bs_shelf
1994,10130,male,1259.9332205334772,bs_shelf
1994,10130,total,2224.53255594143,bs_shelf
1994,10210,female,1837.189652504384,bs_shelf
1994,10210,male,1363.899563309346,bs_shelf
1994,10210,total,2323.066702400787,bs_shelf
1994,10285,female,1346.180437903074,bs_shelf
1994,10285,male,932.3508899968714,bs_shelf
1994,10285,total,1725.511986830678,bs_shelf
1994,21720,female,728.0482552290622,bs_shelf
1994,21720,male,802.7748537367581,bs_shelf
1994,21720,total,1265.1325863159789,bs_shelf
1994,21740,female,1091.3632983350217,bs_shelf
1994,21740,male,1107.7599262335816,bs_shelf
1994,21740,total,1180.591675266577,bs_shelf
1995,10110,female,754.9724954791059,bs_shelf
1995,10110,male,301.98287361251926,bs_shelf
1995,10110,total,924.3047133959908,bs_shelf
1995,10112,female,140.39837016141558,bs_shelf
1995,10112,male,136.11167671712562,bs_shelf
1995,10112,total,261.4157967071154,bs_shelf
1995,10115,female,94.52882668643473,bs_shelf
1995,10115,male,58.88685345475345,bs_shelf
1995,10115,total,162.05264526123392,bs_shelf
1995,10130,female,1236.4417572384275,bs_shelf
1995,10130,male,1180.4153950816735,bs_shelf
1995,10130,total,2006.4306291130777,bs_shelf
1995,10210,female,1523.1359860832774,bs_shelf
1995,10210,male,994.9757893372744,bs_shelf
1995,10210,total,1770.3880228008636,bs_shelf
1995,10285,female,1213.87816621148,bs_shelf
1995,10285,male,973.7487353749574,bs_shelf
1995,10285,total,1905.8557487596377,bs_shelf
1995,21720,female,1210.1453889008187,bs_shelf
1995,21720,male,1120.522989577253,bs_shelf
1995,21720,total,1998.747755130215,bs_shelf
1995,21740,female,571.3542450606333,bs_shelf
1995,21740,male,360.3401171073191,bs_shelf
1995,21740,total,518.5226378576118,bs_shelf
1996,10110,female,1579.5859226004895,bs_shelf
1996,10110,male,593.0355054023995,bs_shelf
1996,10110,total,1896.9983083776144,bs_shelf
1996,10112,female,189.02524009496744,bs_shelf
1996,10112,male,151.3068657112198,bs_shelf
1996,10112,total,326.979741439683,bs_shelf
1996,10115,female,118.84897615376426,bs_shelf
1996,10115,male,105.39348913903332,bs_shelf
1996,10115,total,240.89434254172764,bs_shelf
1996,10130,female,1492.1070526330077,bs_shelf
1996,10130,male,1132.3479236955927,bs_shelf
1996,10130,total,1900.587269511242,bs_shelf
1996,10210,female,1611.9214024218393,bs_shelf
1996,10210,male,1010.5646432682512,bs_shelf
1996,10210,total,1833.858802362252,bs_shelf
1996,10261,female,2209.4410476161606,bs_shelf
